iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation_ft,timezone,airport_type
EPU,EEPU,Pärnu Airport,Pärnu,EE,58.41899871826172,24.47279930114746,47,Europe/Tallinn,medium_airport
EQS,SAVE,Esquel Brigadier Antonio Parodi International Airport,Esquel,AR,-42.908001,-71.139503,2621,America/Argentina/Catamarca,medium_airport
ERC,LTCD,Erzincan Airport,Erzincan,TR,39.7102012634,39.527000427199994,3783,Europe/Istanbul,medium_airport
ERD,UKDB,Berdyansk Airport,Berdyansk,UA,46.814999,36.758099,171,Europe/Zaporozhye,medium_airport
ERF,EDDE,Erfurt-Weimar Airport,Erfurt,DE,50.979801,10.9581,1036,Europe/Berlin,medium_airport
ERH,GMFK,Moulay Ali Cherif Airport,Errachidia,MA,31.9475002289,-4.39833021164,3428,Africa/Casablanca,medium_airport
ERI,KERI,Erie International Tom Ridge Field,Erie,US,42.083127,-80.173867,732,America/New_York,medium_airport
ERL,ZBER,Erenhot Saiwusu International Airport,Erenhot,CN,43.4225,112.096667,3301,Asia/Shanghai,medium_airport
ERS,FYWE,Eros Airport,Windhoek,NA,-22.612199783325195,17.080400466918945,5575,Africa/Windhoek,medium_airport
ERZ,LTCE,Erzurum International Airport,Erzurum,TR,39.956501,41.1702,5763,Europe/Istanbul,medium_airport
ESB,LTAC,Esenboğa International Airport,Ankara,TR,40.128101,32.995098,3125,Europe/Istanbul,large_airport
ESC,KESC,Delta County Airport,Escanaba,US,45.723199,-87.088623,609,America/New_York,medium_airport
ESD,KORS,Orcas Island Airport,Eastsound,US,48.708199,-122.910004,31,America/Los_Angeles,medium_airport
ESF,KESF,Esler Army Airfield / Esler Regional Airport,Alexandria,US,31.394266,-92.294082,112,America/Chicago,medium_airport
ESG,SGME,Aeropuerto Internacional Dr. Luis Maria Argaña,Mariscal Estigarribia,PY,-22.046499,-60.6217,553,America/Asuncion,large_airport
ESH,EGKA,Brighton City Airport,"Brighton, East Sussex",GB,50.835602,-0.297222,7,Europe/London,medium_airport
ESK,LTBI,Eskişehir Air Base,Eskişehir,TR,39.7841,30.5821,2581,Europe/Istanbul,medium_airport
ESL,URWI,Elista Airport,Elista,RU,46.3739013671875,44.33089828491211,501,Europe/Moscow,medium_airport
ESM,SETN,Carlos Concha Torres International Airport,Tachina,EC,0.978519,-79.626602,32,America/Guayaquil,medium_airport
ESR,SCES,Ricardo García Posada Airport,El Salvador,CL,-26.3111,-69.765198,5240,America/Santiago,medium_airport
ESU,GMMI,Essaouira-Mogador Airport,Essaouira,MA,31.397499,-9.68167,384,Africa/Casablanca,medium_airport
ETM,LLER,Ramon International Airport,Eilat,IL,29.727009,35.014116,288,Asia/Jerusalem,large_airport
ETR,SERO,Santa Rosa - Artillery Colonel Victor Larrea International Airport,Santa Rosa,EC,-3.441986,-79.996957,20,America/Guayaquil,medium_airport
ETZ,LFJL,Metz-Nancy-Lorraine Airport,Goin,FR,48.982101,6.25132,870,Europe/Paris,medium_airport
EUG,KEUG,Mahlon Sweet Field,Eugene,US,44.12459945678711,-123.21199798583984,374,America/Los_Angeles,medium_airport
EUN,GMML,Hassan I Airport,El Aaiún,EH,27.142467,-13.224947,207,Africa/Casablanca,medium_airport
EUQ,RPVS,Evelio Javier Airport,San Jose,PH,10.766644,121.932506,23,Asia/Manila,medium_airport
EUX,TNCE,F. D. Roosevelt Airport,Oranjestad,BQ,17.4965,-62.979401,129,America/Kralendijk,medium_airport
EVE,ENEV,"Harstad/Narvik Airport, Evenes",Evenes,NO,68.491302490234,16.678100585938,84,Europe/Oslo,medium_airport
EVN,UDYZ,Zvartnots International Airport,Yerevan,AM,40.1473007202,44.3959007263,2838,Asia/Yerevan,large_airport
EVV,KEVV,Evansville Regional Airport,Evansville,US,38.0369987488,-87.5324020386,418,America/Chicago,medium_airport
EVW,KEVW,Evanston-Uinta County Airport-Burns Field,Evanston,US,41.27479935,-111.0350037,7143,America/Denver,medium_airport
EVX,LFOE,Évreux-Fauville (BA 105) Air Base,"Fauville, Eure",FR,49.028702,1.21986,464,Europe/Paris,medium_airport
